DMS_ID	MSA_path	perc_cov50	Neff/L
CAR11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAR11_HUMAN/CAR11_HUMAN_b05/align/CAR11_HUMAN_b05.a2m	0.9974	0.041
CAR11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAR11_HUMAN/CAR11_HUMAN_b03/align/CAR11_HUMAN_b03.a2m	0.9965	0.049
CAR11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAR11_HUMAN/CAR11_HUMAN_b02/align/CAR11_HUMAN_b02.a2m	0.9974	0.047
CAR11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAR11_HUMAN/CAR11_HUMAN_b04/align/CAR11_HUMAN_b04.a2m	0.9965	0.043
CAS9_STRP1	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAS9_STRP1/CAS9_STRP1_b09/align/CAS9_STRP1_b09.a2m	0.989	0.072
CAS9_STRP1	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAS9_STRP1/CAS9_STRP1_b08/align/CAS9_STRP1_b08.a2m	0.989	0.073
BRCA2_HUMAN_387_2655_V2	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655_V2/BRCA2_HUMAN_387_2655_V2_b05/align/BRCA2_HUMAN_387_2655_V2_b05.a2m	0.9907	0.043
BRCA2_HUMAN_387_2655_V2	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655_V2/BRCA2_HUMAN_387_2655_V2_b04/align/BRCA2_HUMAN_387_2655_V2_b04.a2m	0.989	0.042
BRCA2_HUMAN_387_2655_V2	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655_V2/BRCA2_HUMAN_387_2655_V2_b03/align/BRCA2_HUMAN_387_2655_V2_b03.a2m	0.9934	0.044
BRCA2_HUMAN_387_2655_V2	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655_V2/BRCA2_HUMAN_387_2655_V2_b01/align/BRCA2_HUMAN_387_2655_V2_b01.a2m	0.9947	0.043
BRCA2_HUMAN_387_2655_V2	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655_V2/BRCA2_HUMAN_387_2655_V2_b02/align/BRCA2_HUMAN_387_2655_V2_b02.a2m	0.9938	0.043
CAS9_STRP1	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAS9_STRP1/CAS9_STRP1_b05/align/CAS9_STRP1_b05.a2m	0.9554	0.425
CAS9_STRP1	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAS9_STRP1/CAS9_STRP1_b07/align/CAS9_STRP1_b07.a2m	0.9576	0.419
CAS9_STRP1	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAS9_STRP1/CAS9_STRP1_b06/align/CAS9_STRP1_b06.a2m	0.9569	0.422
CAS9_STRP1	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAS9_STRP1/CAS9_STRP1_b02/align/CAS9_STRP1_b02.a2m	0.9569	0.429
CAS9_STRP1	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAS9_STRP1/CAS9_STRP1_b04/align/CAS9_STRP1_b04.a2m	0.9547	0.422
CAS9_STRP1	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAS9_STRP1/CAS9_STRP1_b03/align/CAS9_STRP1_b03.a2m	0.9547	0.42
CASP7_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP7_HUMAN/CASP7_HUMAN_b09/align/CASP7_HUMAN_b09.a2m	0.9075	5.105
CASP3_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP3_HUMAN/CASP3_HUMAN_b09/align/CASP3_HUMAN_b09.a2m	0.9419	6.58
ARGR_ECO55	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARGR_ECO55/ARGR_ECO55_b03/align/ARGR_ECO55_b03.a2m	0.8261	233.915
CAS9_STRP1	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAS9_STRP1/CAS9_STRP1_b01/align/CAS9_STRP1_b01.a2m	0.9554	1.118
CASP3_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP3_HUMAN/CASP3_HUMAN_b08/align/CASP3_HUMAN_b08.a2m	0.938	8.385
CASP7_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP7_HUMAN/CASP7_HUMAN_b08/align/CASP7_HUMAN_b08.a2m	0.8968	6.904
BBC1_YEAST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BBC1_YEAST/BBC1_YEAST_b09/align/BBC1_YEAST_b09.a2m	0.8125	11.408
CASP7_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP7_HUMAN/CASP7_HUMAN_b07/align/CASP7_HUMAN_b07.a2m	0.8968	8.714
CBPA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBPA2_HUMAN/CBPA2_HUMAN_b09/align/CBPA2_HUMAN_b09.a2m	0.9861	3.646
CBPA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBPA2_HUMAN/CBPA2_HUMAN_b08/align/CBPA2_HUMAN_b08.a2m	0.9861	3.992
CBPA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBPA2_HUMAN/CBPA2_HUMAN_b07/align/CBPA2_HUMAN_b07.a2m	0.9861	9.5
CBPA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBPA2_HUMAN/CBPA2_HUMAN_b05/align/CBPA2_HUMAN_b05.a2m	0.9722	27.601
CBPA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBPA2_HUMAN/CBPA2_HUMAN_b06/align/CBPA2_HUMAN_b06.a2m	0.9861	17.61
CBPA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBPA2_HUMAN/CBPA2_HUMAN_b04/align/CBPA2_HUMAN_b04.a2m	0.9722	37.402
CBPA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBPA2_HUMAN/CBPA2_HUMAN_b03/align/CBPA2_HUMAN_b03.a2m	0.9722	43.006
CASP3_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP3_HUMAN/CASP3_HUMAN_b07/align/CASP3_HUMAN_b07.a2m	0.9264	11.601
CBPA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBPA2_HUMAN/CBPA2_HUMAN_b02/align/CBPA2_HUMAN_b02.a2m	0.9444	74.224
CASP3_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP3_HUMAN/CASP3_HUMAN_b06/align/CASP3_HUMAN_b06.a2m	0.9264	13.416
CBX4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBX4_HUMAN/CBX4_HUMAN_b09/align/CBX4_HUMAN_b09.a2m	0.94	52.86
CASP7_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP7_HUMAN/CASP7_HUMAN_b06/align/CASP7_HUMAN_b06.a2m	0.8826	11.73
CASP3_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP3_HUMAN/CASP3_HUMAN_b05/align/CASP3_HUMAN_b05.a2m	0.9186	14.855
CASP7_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP7_HUMAN/CASP7_HUMAN_b05/align/CASP7_HUMAN_b05.a2m	0.8826	12.913
CBX4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBX4_HUMAN/CBX4_HUMAN_b08/align/CBX4_HUMAN_b08.a2m	0.94	75.048
CASP3_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP3_HUMAN/CASP3_HUMAN_b04/align/CASP3_HUMAN_b04.a2m	0.9147	15.833
CASP3_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP3_HUMAN/CASP3_HUMAN_b03/align/CASP3_HUMAN_b03.a2m	0.9147	16.902
CASP7_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP7_HUMAN/CASP7_HUMAN_b04/align/CASP7_HUMAN_b04.a2m	0.8719	14.242
CASP7_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CASP7_HUMAN/CASP7_HUMAN_b03/align/CASP7_HUMAN_b03.a2m	0.8754	14.942
CBX4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBX4_HUMAN/CBX4_HUMAN_b07/align/CBX4_HUMAN_b07.a2m	0.94	104.505
DN7A_ACIHW	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DN7A_ACIHW/DN7A_ACIHW_b04/align/DN7A_ACIHW_b04.a2m	0.9455	0.14
DN7A_ACIHW	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DN7A_ACIHW/DN7A_ACIHW_b05/align/DN7A_ACIHW_b05.a2m	0.9455	0.14
DN7A_ACIHW	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DN7A_ACIHW/DN7A_ACIHW_b06/align/DN7A_ACIHW_b06.a2m	0.9455	0.14
DN7A_ACIHW	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DN7A_ACIHW/DN7A_ACIHW_b08/align/DN7A_ACIHW_b08.a2m	0.9455	0.14
DN7A_ACIHW	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DN7A_ACIHW/DN7A_ACIHW_b07/align/DN7A_ACIHW_b07.a2m	0.9455	0.14
DN7A_ACIHW	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DN7A_ACIHW/DN7A_ACIHW_b09/align/DN7A_ACIHW_b09.a2m	0.9455	0.14
DN7A_ACIHW	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DN7A_ACIHW/DN7A_ACIHW_b03/align/DN7A_ACIHW_b03.a2m	0.8909	18.649
CUE1_YEAST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CUE1_YEAST/CUE1_YEAST_b09/align/CUE1_YEAST_b09.a2m	0.9231	4.487
CD19_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CD19_HUMAN/CD19_HUMAN_b07/align/CD19_HUMAN_b07.a2m	1.0	0.089
CD19_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CD19_HUMAN/CD19_HUMAN_b08/align/CD19_HUMAN_b08.a2m	1.0	0.089
CD19_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CD19_HUMAN/CD19_HUMAN_b09/align/CD19_HUMAN_b09.a2m	1.0	0.089
CD19_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CD19_HUMAN/CD19_HUMAN_b04/align/CD19_HUMAN_b04.a2m	1.0	0.088
CD19_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CD19_HUMAN/CD19_HUMAN_b06/align/CD19_HUMAN_b06.a2m	1.0	0.088
CD19_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CD19_HUMAN/CD19_HUMAN_b05/align/CD19_HUMAN_b05.a2m	1.0	0.088
CD19_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CD19_HUMAN/CD19_HUMAN_b03/align/CD19_HUMAN_b03.a2m	1.0	0.107
CD19_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CD19_HUMAN/CD19_HUMAN_b02/align/CD19_HUMAN_b02.a2m	1.0	0.108
CUE1_YEAST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CUE1_YEAST/CUE1_YEAST_b08/align/CUE1_YEAST_b08.a2m	0.8654	6.726
CSN4_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CSN4_MOUSE/CSN4_MOUSE_b08/align/CSN4_MOUSE_b08.a2m	0.9444	3.889
CSN4_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CSN4_MOUSE/CSN4_MOUSE_b09/align/CSN4_MOUSE_b09.a2m	0.9583	3.673
CD19_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CD19_HUMAN/CD19_HUMAN_b01/align/CD19_HUMAN_b01.a2m	0.9694	0.505
CUE1_YEAST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CUE1_YEAST/CUE1_YEAST_b07/align/CUE1_YEAST_b07.a2m	0.8462	8.748
CUE1_YEAST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CUE1_YEAST/CUE1_YEAST_b06/align/CUE1_YEAST_b06.a2m	0.8462	9.66
CUE1_YEAST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CUE1_YEAST/CUE1_YEAST_b05/align/CUE1_YEAST_b05.a2m	0.8462	11.455
CSN4_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CSN4_MOUSE/CSN4_MOUSE_b07/align/CSN4_MOUSE_b07.a2m	0.9028	8.065
CSN4_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CSN4_MOUSE/CSN4_MOUSE_b06/align/CSN4_MOUSE_b06.a2m	0.9167	8.492
CUE1_YEAST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CUE1_YEAST/CUE1_YEAST_b04/align/CUE1_YEAST_b04.a2m	0.7885	11.719
CUE1_YEAST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CUE1_YEAST/CUE1_YEAST_b03/align/CUE1_YEAST_b03.a2m	0.75	11.44
CUE1_YEAST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CUE1_YEAST/CUE1_YEAST_b01/align/CUE1_YEAST_b01.a2m	0.7308	68.112
CSN4_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CSN4_MOUSE/CSN4_MOUSE_b05/align/CSN4_MOUSE_b05.a2m	0.9028	13.509
CBS_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBS_HUMAN/CBS_HUMAN_b09/align/CBS_HUMAN_b09.a2m	0.8258	2.103
CSN4_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CSN4_MOUSE/CSN4_MOUSE_b04/align/CSN4_MOUSE_b04.a2m	0.875	27.74
DN7A_ACIHW	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DN7A_ACIHW/DN7A_ACIHW_b02/align/DN7A_ACIHW_b02.a2m	0.7636	9.244
CUE1_YEAST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CUE1_YEAST/CUE1_YEAST_b02/align/CUE1_YEAST_b02.a2m	0.7115	33.63
DN7A_ACIHW	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DN7A_ACIHW/DN7A_ACIHW_b01/align/DN7A_ACIHW_b01.a2m	0.7455	29.369
CXCR4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CXCR4_HUMAN/CXCR4_HUMAN_b09/align/CXCR4_HUMAN_b09.a2m	0.9233	3.695
CSN4_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CSN4_MOUSE/CSN4_MOUSE_b03/align/CSN4_MOUSE_b03.a2m	0.8611	40.667
CBX4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CBX4_HUMAN/CBX4_HUMAN_b06/align/CBX4_HUMAN_b06.a2m	0.94	143.239
CCR5_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CCR5_HUMAN/CCR5_HUMAN_b09/align/CCR5_HUMAN_b09.a2m	0.9347	5.347
B3VI55_LIPST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/B3VI55_LIPST/B3VI55_LIPST_b08/align/B3VI55_LIPST_b08.a2m	0.8383	13.057
DOCK1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DOCK1_HUMAN/DOCK1_HUMAN_b09/align/DOCK1_HUMAN_b09.a2m	0.9697	4.043
DOCK1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DOCK1_HUMAN/DOCK1_HUMAN_b08/align/DOCK1_HUMAN_b08.a2m	0.9697	5.228
DOCK1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/DOCK1_HUMAN/DOCK1_HUMAN_b07/align/DOCK1_HUMAN_b07.a2m	0.9697	5.915
FKBP3_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/FKBP3_MOUSE/FKBP3_MOUSE_b08/align/FKBP3_MOUSE_b08.a2m	0.9855	1.11
FKBP3_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/FKBP3_MOUSE/FKBP3_MOUSE_b09/align/FKBP3_MOUSE_b09.a2m	0.9855	1.056
FKBP3_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/FKBP3_MOUSE/FKBP3_MOUSE_b07/align/FKBP3_MOUSE_b07.a2m	0.9855	1.23
FKBP3_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/FKBP3_MOUSE/FKBP3_MOUSE_b05/align/FKBP3_MOUSE_b05.a2m	0.8696	1.636
FKBP3_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/FKBP3_MOUSE/FKBP3_MOUSE_b06/align/FKBP3_MOUSE_b06.a2m	0.8551	1.552
FKBP3_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/FKBP3_MOUSE/FKBP3_MOUSE_b03/align/FKBP3_MOUSE_b03.a2m	0.8696	1.927
FKBP3_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/FKBP3_MOUSE/FKBP3_MOUSE_b04/align/FKBP3_MOUSE_b04.a2m	0.8696	1.735
FKBP3_MOUSE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/FKBP3_MOUSE/FKBP3_MOUSE_b01/align/FKBP3_MOUSE_b01.a2m	0.8551	19.953
GLPA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/GLPA_HUMAN/GLPA_HUMAN_b08/align/GLPA_HUMAN_b08.a2m	1.0	0.1
GLPA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/GLPA_HUMAN/GLPA_HUMAN_b07/align/GLPA_HUMAN_b07.a2m	0.98	0.306
GLPA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/GLPA_HUMAN/GLPA_HUMAN_b03/align/GLPA_HUMAN_b03.a2m	0.9733	0.54
GLPA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/GLPA_HUMAN/GLPA_HUMAN_b04/align/GLPA_HUMAN_b04.a2m	0.9733	0.583
GLPA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/GLPA_HUMAN/GLPA_HUMAN_b06/align/GLPA_HUMAN_b06.a2m	0.9733	0.479
GLPA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/GLPA_HUMAN/GLPA_HUMAN_b05/align/GLPA_HUMAN_b05.a2m	0.9733	0.578
H3JQU7_ENTQU	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/H3JQU7_ENTQU/H3JQU7_ENTQU_b09/align/H3JQU7_ENTQU_b09.a2m	0.9442	0.335
H3JQU7_ENTQU	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/H3JQU7_ENTQU/H3JQU7_ENTQU_b07/align/H3JQU7_ENTQU_b07.a2m	0.9442	0.327
H3JQU7_ENTQU	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/H3JQU7_ENTQU/H3JQU7_ENTQU_b08/align/H3JQU7_ENTQU_b08.a2m	0.9442	0.341
GLPA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/GLPA_HUMAN/GLPA_HUMAN_b09/align/GLPA_HUMAN_b09.a2m	1.0	0.1
H3JQU7_ENTQU	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/H3JQU7_ENTQU/H3JQU7_ENTQU_b06/align/H3JQU7_ENTQU_b06.a2m	0.9313	0.438
HCP_LAMBD	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/HCP_LAMBD/HCP_LAMBD_b09/align/HCP_LAMBD_b09.a2m	0.9273	6.3
HCP_LAMBD	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/HCP_LAMBD/HCP_LAMBD_b08/align/HCP_LAMBD_b08.a2m	0.9273	7.079
HCP_LAMBD	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/HCP_LAMBD/HCP_LAMBD_b05/align/HCP_LAMBD_b05.a2m	0.9273	10.485
H3JQU7_ENTQU	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/H3JQU7_ENTQU/H3JQU7_ENTQU_b05/align/H3JQU7_ENTQU_b05.a2m	0.9356	0.571
H3JQU7_ENTQU	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/H3JQU7_ENTQU/H3JQU7_ENTQU_b04/align/H3JQU7_ENTQU_b04.a2m	0.9442	0.644
HCP_LAMBD	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/HCP_LAMBD/HCP_LAMBD_b07/align/HCP_LAMBD_b07.a2m	0.9273	7.686
HCP_LAMBD	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/HCP_LAMBD/HCP_LAMBD_b06/align/HCP_LAMBD_b06.a2m	0.9273	9.022
H3JQU7_ENTQU	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/H3JQU7_ENTQU/H3JQU7_ENTQU_b01/align/H3JQU7_ENTQU_b01.a2m	0.9442	0.704
H3JQU7_ENTQU	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/H3JQU7_ENTQU/H3JQU7_ENTQU_b02/align/H3JQU7_ENTQU_b02.a2m	0.9399	0.673
